task,icl_example_index,token_role,layer,mean_cosine,n_prompts
antonym,1,pre_label_token,0,0.0001948060526046902,170
antonym,1,pre_label_token,1,0.14402683079242706,170
antonym,1,pre_label_token,2,0.13685442507266998,170
antonym,1,pre_label_token,3,0.10602165758609772,170
antonym,1,pre_label_token,4,0.12932001054286957,170
antonym,1,pre_label_token,5,0.13597430288791656,170
antonym,1,pre_label_token,6,0.17572419345378876,170
antonym,1,pre_label_token,7,0.20076046884059906,170
antonym,1,pre_label_token,8,0.20939551293849945,170
antonym,1,pre_label_token,9,0.2244282066822052,170
antonym,1,pre_label_token,10,0.2410944700241089,170
antonym,1,pre_label_token,11,0.24507606029510498,170
antonym,1,pre_label_token,12,0.27993494272232056,170
antonym,1,pre_label_token,13,0.3025802671909332,170
antonym,1,pre_label_token,14,0.32168278098106384,170
antonym,1,pre_label_token,15,0.32197317481040955,170
antonym,1,pre_label_token,16,0.32095867395401,170
antonym,1,pre_label_token,17,0.3244565725326538,170
antonym,1,pre_label_token,18,0.3243831992149353,170
antonym,1,pre_label_token,19,0.31982362270355225,170
antonym,1,pre_label_token,20,0.3198533058166504,170
antonym,1,pre_label_token,21,0.32108381390571594,170
antonym,1,pre_label_token,22,0.31716951727867126,170
antonym,1,pre_label_token,23,0.31467410922050476,170
antonym,1,pre_label_token,24,0.31136250495910645,170
antonym,1,pre_label_token,25,0.3012067377567291,170
antonym,1,pre_label_token,26,0.2896232604980469,170
antonym,1,pre_label_token,27,0.2637793719768524,170
antonym,1,pre_label_token,28,0.2613239586353302,170
antonym,1,first_label_token,0,0.004347046371549368,170
antonym,1,first_label_token,1,0.1574489176273346,170
antonym,1,first_label_token,2,0.14241616427898407,170
antonym,1,first_label_token,3,0.1328183114528656,170
antonym,1,first_label_token,4,0.1551213562488556,170
antonym,1,first_label_token,5,0.17266294360160828,170
antonym,1,first_label_token,6,0.19229619204998016,170
antonym,1,first_label_token,7,0.21499153971672058,170
antonym,1,first_label_token,8,0.22403788566589355,170
antonym,1,first_label_token,9,0.2267918735742569,170
